season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose
1,Main,Nunu,27,96.4,9,18,6,12,6
1,Main,Alistar,25,89.3,12,13,4,8,5
1,Main,Rumble,23,82.1,21,2,2,2,0
1,Main,Vladimir,22,78.6,14,8,5,3,5
1,Main,Twisted Fate,22,78.6,18,4,2,2,2
1,Main,Corki,20,71.4,5,15,8,8,7
1,Main,Jarvan IV,20,71.4,7,13,5,8,5
1,Main,Vayne,20,71.4,12,8,5,4,4
1,Main,Janna,19,67.9,1,18,6,10,8
1,Main,Ashe,19,67.9,2,17,8,13,4
1,Main,Nidalee,19,67.9,15,4,3,3,1
1,Main,Sona,18,64.3,3,15,6,9,6
1,Main,Amumu,18,64.3,8,10,6,3,7
1,Main,Malzahar,16,57.1,,16,6,9,7
1,Main,Warwick,14,50,3,11,7,6,5
1,Main,Anivia,14,50,5,9,4,5,4
1,Main,Taric,13,46.4,3,10,6,3,7
1,Main,Annie,10,35.7,2,8,5,4,4
1,Main,Karthus,9,32.1,3,6,4,2,4
1,Main,Brand,8,28.6,,8,3,3,5
1,Main,Miss Fortune,8,28.6,,8,4,2,6
1,Main,Soraka,8,28.6,1,7,5,2,5
1,Main,Gragas,7,25,3,4,3,3,1
1,Main,Nocturne,7,25,3,4,3,2,2
1,Main,Irelia,7,25,3,4,2,1,3
1,Main,Zilean,7,25,5,2,2,1,1
1,Main,Akali,7,25,6,1,1,1,0
1,Main,Singed,6,21.4,2,4,2,2,2
1,Main,Swain,5,17.9,,5,4,2,3
1,Main,Caitlyn,4,14.3,,4,3,0,4
1,Main,Cho'Gath,3,10.7,,3,3,1,2
1,Main,Tristana,3,10.7,,3,2,1,2
1,Main,Trundle,3,10.7,,3,3,0,3
1,Main,Mordekaiser,3,10.7,2,1,1,1,0
1,Main,Lee Sin,2,7.1,,2,2,1,1
1,Main,Teemo,2,7.1,,2,1,1,1
1,Main,Gangplank,1,3.6,,1,1,1,0
1,Main,Sion,1,3.6,,1,1,1,0
1,Main,Blitzcrank,1,3.6,,1,1,0,1
1,Main,Dr. Mundo,1,3.6,,1,1,0,1
1,Main,Garen,1,3.6,,1,1,0,1
1,Main,Kassadin,1,3.6,,1,1,0,1
1,Main,Lux,1,3.6,,1,1,0,1
1,Main,Poppy,1,3.6,,1,1,0,1
1,Main,Rammus,1,3.6,,1,1,0,1
1,Main,Urgot,1,3.6,,1,1,0,1
2,Main,Ezreal,28,90.3,4,24,10,11,13
2,Main,Jayce,26,83.9,14,12,7,7,5
2,Main,Shen,24,77.4,6,18,9,7,11
2,Main,Sona,23,74.2,7,16,7,12,4
2,Main,Orianna,22,71,13,9,5,8,1
2,Main,Karthus,21,67.7,5,16,6,7,9
2,Main,Maokai,21,67.7,6,15,6,9,6
2,Main,Skarner,21,67.7,12,9,5,7,2
2,Main,Anivia,19,61.3,12,7,3,4,3
2,Main,Alistar,19,61.3,14,5,3,2,3
2,Main,Irelia,17,54.8,9,8,6,4,4
2,Main,Blitzcrank,17,54.8,12,5,5,3,2
2,Main,Kog'Maw,14,45.2,4,10,3,6,4
2,Main,Vladimir,14,45.2,5,9,5,5,4
2,Main,Evelynn,14,45.2,12,2,1,2,0
2,Main,Nunu,13,41.9,2,11,6,5,6
2,Main,Yorick,11,35.5,5,6,3,2,4
2,Main,Corki,10,32.3,,10,7,5,5
2,Main,Jax,10,32.3,5,5,3,3,2
